,model,test_loss_mean,test_accuracy_mean,precision_mean,recall_mean,f1_score_mean,auc_micro_mean,auc_macro_mean,test_loss_std,test_accuracy_std,precision_std,recall_std,f1_score_std,auc_micro_std,auc_macro_std
0,vgg19,0.07241085425982707,0.9848876858862594,0.9851188949864286,0.9848876858862592,0.9847676480864749,0.997831025954512,0.9955528784295014,0.04781859524254577,0.009576107742490405,0.009435349941061662,0.009576107742490372,0.009685700684823734,0.0013418324039301684,0.004970433373044843
1,resnet34,0.08445659753389104,0.9763382388204072,0.9766688874621259,0.9763382388204072,0.9761523786210761,0.9975992642689032,0.9963967502656704,0.027338710163215978,0.006289503896604734,0.006173559914269779,0.006289503896604752,0.006419156752254075,0.0014103875900171705,0.0035809963915116824
2,ded_audionet,1.4460651023166564,0.5903682569873727,0.4032730811015563,0.5903682569873725,0.4648554200226198,0.8192235952681433,0.6610931746864752,0.037868192227797665,0.013153175367831837,0.025392634950033653,0.013153175367831827,0.007649956329196077,0.021113407480494124,0.03774021384574869
3,vgg19,0.15553305351584357,0.9461156426919622,0.9508832293751792,0.9461156426919622,0.947219540288198,0.9826424443879016,0.9599527172147082,0.05413558783308579,0.023751996780351732,0.021502439417742523,0.023751996780351732,0.02300700326751266,0.0036577899219205376,0.013082911805405578
4,resnet34,0.07224036379047119,0.9797602935976688,0.9802983650269089,0.9797602935976688,0.9796114806423892,0.9978454884886927,0.9961199060342125,0.0328751964629863,0.008990094604468191,0.008776218971431993,0.008990094604468169,0.009106161090168355,0.0011952771995172302,0.003890500739523945
5,ded_audionet,0.40578006407721573,0.8503326546122552,0.8596387737368442,0.8503326546122552,0.8221921932424058,0.9436136782364143,0.8774124542032686,0.06957516746920464,0.030661102553775237,0.02222965296440394,0.03066110255377526,0.03541657293579413,0.011596792702286467,0.020995600508909543
6,vgg19,0.32189698175031445,0.8916736774083421,0.8975810757670523,0.8916736774083421,0.8864187040510865,0.9669841955445311,0.9480963842975321,0.03607185816017973,0.014867487863062367,0.01551397334601778,0.014867487863062407,0.016061103053152757,0.003969560934260493,0.01658235140425422
7,resnet34,0.5405705208165763,0.8586110196666544,0.8622980565021221,0.8586110196666544,0.8580112906165555,0.9639225231033304,0.9288077701305845,0.044942165111344155,0.014768880669751176,0.01344354072953311,0.014768880669751154,0.014716086778828928,0.004262986554932751,0.028236897953689215
8,ded_audionet,1.932974149910946,0.366876379287221,0.13459918914012176,0.366876379287221,0.1969435823492073,0.6383507890640557,0.5,4.855003780532707e-05,0.0009547047820692011,0.0007008893699527431,0.0009547047820692011,0.0008877245827898003,0.0005522291352746339,0.0
