,vgg19_spectrogram,resnet34_spectrogram,ded_audionet_spectrogram,vgg19_melspectrogram,resnet34_melspectrogram,ded_audionet_melspectrogram,vgg19_mfcc,resnet34_mfcc,ded_audionet_mfcc
train_loss,"[1.8044510893284722, 0.8071459188515683, 0.7030300365034716, 0.5679888013678623, 0.48142505197633784, 0.41676699104091564, 0.3611734481003993, 0.3444646109832837, 0.28423218585216226, 0.2722601081461713]","[1.0338719992746392, 0.5979969598145801, 0.3999740346278451, 0.26712844529835056, 0.19857195646356704, 0.12916899584525837, 0.09087864950920588, 0.05620471524713257, 0.05002430419444889, 0.052257137008659214]","[3.178186263174817, 1.899198112195505, 1.8716591191308802, 1.8532596518121611, 1.825022691076174, 1.8057472405056398, 1.7882025262243988, 1.7568022662711331, 1.760538700301564, 1.7460864527431115]","[1.324203998763818, 0.6092389816483343, 0.5009455615847092, 0.44792927768684165, 0.38273605808392647, 0.35572495791033515, 0.3260880933645701, 0.28220119365011037, 0.26085070393719334, 0.26695568813376147]","[0.7757603879155045, 0.4628896802685045, 0.3018244053326754, 0.22457447278440126, 0.18158068630581486, 0.16730928949942694, 0.11441850977141944, 0.10885022800476825, 0.08358577673913578, 0.07700213881279856]","[1.9942239882770982, 1.1094498033618723, 1.054410581153712, 1.011298484362115, 0.9655710621043264, 0.941722220849413, 0.9048578744901561, 0.9087738965293466, 0.8870618678124904, 0.8425190437290385]","[2.216628778091262, 1.4554577986852493, 1.2873004052949988, 1.2400304386637844, 1.1174672127024923, 0.9314267012534274, 0.9211011412138609, 0.7868829502943832, 0.7022231221836291, 0.651896362209524]","[1.5696678138679891, 1.2960202754266077, 1.1919916875007233, 1.1051942602872677, 1.0146336869860408, 0.9330548326712546, 0.8441640096142389, 0.772934060732297, 0.7051334922770814, 0.635789545875571]","[4.5511950237446825, 1.7109125289250848, 1.6910542642229043, 1.617810198008292, 1.625132042088852, 1.5778341176079922, 1.5773610628594352, 1.544738067105593, 1.5308481420862274, 1.5084678882033333]"
val_loss,"[0.7750564944370519, 0.6633574239209167, 0.5150155136388251, 0.4979432408626263, 0.46852903208162033, 0.4500035854146691, 0.47184860638403825, 0.37879174608111044, 0.5458008128608394, 0.3521476546753506]","[0.7484506611470823, 0.804926186035841, 0.5342711381762796, 0.705439291958116, 0.6007857247974798, 0.6836683374864084, 0.5641650749407603, 0.6706492749714105, 1.145793454939144, 0.6030829543741341]","[1.9225669796989855, 1.9183366081313868, 1.8696253428771625, 1.823320763742822, 1.7863509451222217, 1.7602867808437075, 1.7564824279556928, 1.6982073916329279, 1.7204317829208156, 1.6682969725709356]","[0.7078271000473587, 0.46684680603168627, 0.8018691886184562, 0.451222042242686, 0.4388642763649976, 0.251620019008631, 0.3012944080381312, 0.3654546591631028, 0.26610838640958834, 0.40549899132503064]","[0.543364792298048, 0.5259333855745799, 0.36069240401952696, 0.44227351812895205, 0.5901472554926859, 0.6015779766601714, 0.3874149898178557, 0.5076513161346783, 0.3981815163905804, 0.316185991818409]","[1.351135721573463, 1.2830226203994533, 1.1114374305787589, 1.0912550594392325, 0.9637844798571703, 0.9111272947401063, 0.8995299818169358, 0.9946858021948073, 0.981726827105226, 0.8683034881227716]","[1.5506534868495756, 1.3980794995598644, 1.2339434681454955, 1.2967930716327114, 1.0394970861255612, 0.9299456336219766, 0.8773760692006842, 0.7496030403677895, 0.7409413185214725, 0.7330526082943647]","[1.3867207928600473, 1.327703434177953, 1.3275763825473623, 1.3527566343970447, 1.3444491030483843, 1.4283763397792806, 1.4398890434846578, 1.535126961873807, 1.5862901105500355, 1.5424106521823806]","[1.9120320614926156, 1.8243156433784724, 1.759176544314436, 1.7364594766557047, 1.7284075605903255, 1.6612862793468681, 1.6517044210705663, 1.5801657183557494, 1.5798457528111602, 1.4904604127943686]"
train_acc,"[0.432287954383464, 0.7088382038488953, 0.7505345687811832, 0.8029223093371347, 0.8389166072701355, 0.8588738417676408, 0.8766928011404135, 0.887384176764077, 0.9091233071988596, 0.906985032074127]","[0.6461154668567356, 0.8000712758374912, 0.8699215965787599, 0.9098360655737705, 0.9326443335709195, 0.9575908766928012, 0.9750534568781184, 0.9843193157519602, 0.9857448325017819, 0.985032074126871]","[0.12580185317177478, 0.11190306486101212, 0.11368496079828938, 0.10940841054882396, 0.14861012116892375, 0.23841767640769781, 0.24091233071988596, 0.2587312900926586, 0.25267284390591593, 0.25908766928011406]","[0.5744832501781896, 0.796863863150392, 0.8421240199572345, 0.8624376336421954, 0.8777619387027799, 0.8799002138275125, 0.8909479686386316, 0.9030648610121169, 0.906985032074127, 0.9080541696364933]","[0.7508909479686386, 0.8485388453314326, 0.9027084818246615, 0.9180327868852459, 0.9326443335709195, 0.9397719173200285, 0.9632929436920884, 0.9607982893799003, 0.9682822523164648, 0.973984319315752]","[0.5138987883107626, 0.6229508196721312, 0.6229508196721312, 0.6104775481111904, 0.6297220242337848, 0.6411261582323593, 0.6357804704205274, 0.6379187455452602, 0.6329294369208839, 0.6635780470420528]","[0.3325017818959373, 0.413399857448325, 0.5064148253741981, 0.5306486101211689, 0.5915894511760513, 0.6575196008553101, 0.6682109764789737, 0.7173913043478262, 0.7462580185317178, 0.7658588738417677]","[0.4137562366357805, 0.5074839629365645, 0.5523877405559515, 0.5997861724875267, 0.616535994297933, 0.6557377049180328, 0.6888809693513899, 0.7020669992872417, 0.7387740555951533, 0.7701354240912331]","[0.2644333570919458, 0.31111903064861013, 0.308624376336422, 0.3332145402708482, 0.33606557377049184, 0.35317177476835354, 0.36421952957947257, 0.391304347826087, 0.3845331432644334, 0.4048467569493942]"
val_acc,"[0.7606837606837608, 0.7663817663817665, 0.8433048433048433, 0.8575498575498576, 0.8490028490028491, 0.8433048433048433, 0.8717948717948718, 0.8717948717948718, 0.8319088319088319, 0.9031339031339032]","[0.7150997150997151, 0.7464387464387465, 0.8433048433048433, 0.7720797720797721, 0.8062678062678063, 0.8062678062678063, 0.8490028490028491, 0.8148148148148149, 0.7492877492877493, 0.8319088319088319]","[0.12535612535612536, 0.17094017094017094, 0.12820512820512822, 0.12535612535612536, 0.26495726495726496, 0.27350427350427353, 0.301994301994302, 0.26495726495726496, 0.3162393162393163, 0.2934472934472935]","[0.7606837606837608, 0.8518518518518519, 0.7464387464387465, 0.8547008547008548, 0.8547008547008548, 0.9088319088319089, 0.9173789173789174, 0.8717948717948718, 0.905982905982906, 0.8774928774928775]","[0.8433048433048433, 0.8774928774928775, 0.8717948717948718, 0.8774928774928775, 0.8005698005698006, 0.8091168091168092, 0.8717948717948718, 0.8575498575498576, 0.9002849002849004, 0.9088319088319089]","[0.7264957264957266, 0.6837606837606838, 0.6837606837606838, 0.7236467236467237, 0.7207977207977209, 0.7094017094017094, 0.7435897435897436, 0.7521367521367521, 0.7293447293447294, 0.7663817663817665]","[0.3646723646723647, 0.5071225071225072, 0.5356125356125356, 0.5242165242165242, 0.6381766381766382, 0.6410256410256411, 0.7236467236467237, 0.7521367521367521, 0.792022792022792, 0.7492877492877493]","[0.4814814814814815, 0.5213675213675214, 0.5413105413105413, 0.50997150997151, 0.5242165242165242, 0.5185185185185185, 0.4586894586894587, 0.47008547008547014, 0.4871794871794872, 0.5156695156695157]","[0.1225071225071225, 0.4358974358974359, 0.46153846153846156, 0.49572649572649574, 0.49572649572649574, 0.50997150997151, 0.5014245014245015, 0.5156695156695157, 0.5213675213675214, 0.5470085470085471]"
