Dataset,KNN_Inference Time_mean,KNN_Inference Time_std,KNN_Balling_mean,KNN_Balling_std,KNN_Degradation_mean,KNN_Degradation_std,KNN_LOF_mean,KNN_LOF_std,KNN_Laser-off_mean,KNN_Laser-off_std,KNN_Non-defective_mean,KNN_Non-defective_std,KNN_Accuracy_mean,KNN_Accuracy_std,KNN_F1 Score_mean,KNN_F1 Score_std,KNN_Precision_mean,KNN_Precision_std,KNN_Recall_mean,KNN_Recall_std,KNN_ROC-AUC_mean,KNN_ROC-AUC_std,DT_Inference Time_mean,DT_Inference Time_std,DT_Balling_mean,DT_Balling_std,DT_Degradation_mean,DT_Degradation_std,DT_LOF_mean,DT_LOF_std,DT_Laser-off_mean,DT_Laser-off_std,DT_Non-defective_mean,DT_Non-defective_std,DT_Accuracy_mean,DT_Accuracy_std,DT_F1 Score_mean,DT_F1 Score_std,DT_Precision_mean,DT_Precision_std,DT_Recall_mean,DT_Recall_std,DT_ROC-AUC_mean,DT_ROC-AUC_std,RF_Inference Time_mean,RF_Inference Time_std,RF_Balling_mean,RF_Balling_std,RF_Degradation_mean,RF_Degradation_std,RF_LOF_mean,RF_LOF_std,RF_Laser-off_mean,RF_Laser-off_std,RF_Non-defective_mean,RF_Non-defective_std,RF_Accuracy_mean,RF_Accuracy_std,RF_F1 Score_mean,RF_F1 Score_std,RF_Precision_mean,RF_Precision_std,RF_Recall_mean,RF_Recall_std,RF_ROC-AUC_mean,RF_ROC-AUC_std,BalancedRF_Inference Time_mean,BalancedRF_Inference Time_std,BalancedRF_Balling_mean,BalancedRF_Balling_std,BalancedRF_Degradation_mean,BalancedRF_Degradation_std,BalancedRF_LOF_mean,BalancedRF_LOF_std,BalancedRF_Laser-off_mean,BalancedRF_Laser-off_std,BalancedRF_Non-defective_mean,BalancedRF_Non-defective_std,BalancedRF_Accuracy_mean,BalancedRF_Accuracy_std,BalancedRF_F1 Score_mean,BalancedRF_F1 Score_std,BalancedRF_Precision_mean,BalancedRF_Precision_std,BalancedRF_Recall_mean,BalancedRF_Recall_std,BalancedRF_ROC-AUC_mean,BalancedRF_ROC-AUC_std,RUSBoost_Inference Time_mean,RUSBoost_Inference Time_std,RUSBoost_Balling_mean,RUSBoost_Balling_std,RUSBoost_Degradation_mean,RUSBoost_Degradation_std,RUSBoost_LOF_mean,RUSBoost_LOF_std,RUSBoost_Laser-off_mean,RUSBoost_Laser-off_std,RUSBoost_Non-defective_mean,RUSBoost_Non-defective_std,RUSBoost_Accuracy_mean,RUSBoost_Accuracy_std,RUSBoost_F1 Score_mean,RUSBoost_F1 Score_std,RUSBoost_Precision_mean,RUSBoost_Precision_std,RUSBoost_Recall_mean,RUSBoost_Recall_std,RUSBoost_ROC-AUC_mean,RUSBoost_ROC-AUC_std,Ada_Inference Time_mean,Ada_Inference Time_std,Ada_Balling_mean,Ada_Balling_std,Ada_Degradation_mean,Ada_Degradation_std,Ada_LOF_mean,Ada_LOF_std,Ada_Laser-off_mean,Ada_Laser-off_std,Ada_Non-defective_mean,Ada_Non-defective_std,Ada_Accuracy_mean,Ada_Accuracy_std,Ada_F1 Score_mean,Ada_F1 Score_std,Ada_Precision_mean,Ada_Precision_std,Ada_Recall_mean,Ada_Recall_std,Ada_ROC-AUC_mean,Ada_ROC-AUC_std,NN_Inference Time_mean,NN_Inference Time_std,NN_Balling_mean,NN_Balling_std,NN_Degradation_mean,NN_Degradation_std,NN_LOF_mean,NN_LOF_std,NN_Laser-off_mean,NN_Laser-off_std,NN_Non-defective_mean,NN_Non-defective_std,NN_Accuracy_mean,NN_Accuracy_std,NN_F1 Score_mean,NN_F1 Score_std,NN_Precision_mean,NN_Precision_std,NN_Recall_mean,NN_Recall_std,NN_ROC-AUC_mean,NN_ROC-AUC_std,XGBoost_Inference Time_mean,XGBoost_Inference Time_std,XGBoost_Balling_mean,XGBoost_Balling_std,XGBoost_Degradation_mean,XGBoost_Degradation_std,XGBoost_LOF_mean,XGBoost_LOF_std,XGBoost_Laser-off_mean,XGBoost_Laser-off_std,XGBoost_Non-defective_mean,XGBoost_Non-defective_std,XGBoost_Accuracy_mean,XGBoost_Accuracy_std,XGBoost_F1 Score_mean,XGBoost_F1 Score_std,XGBoost_Precision_mean,XGBoost_Precision_std,XGBoost_Recall_mean,XGBoost_Recall_std,XGBoost_ROC-AUC_mean,XGBoost_ROC-AUC_std,LightGBM_Inference Time_mean,LightGBM_Inference Time_std,LightGBM_Balling_mean,LightGBM_Balling_std,LightGBM_Degradation_mean,LightGBM_Degradation_std,LightGBM_LOF_mean,LightGBM_LOF_std,LightGBM_Laser-off_mean,LightGBM_Laser-off_std,LightGBM_Non-defective_mean,LightGBM_Non-defective_std,LightGBM_Accuracy_mean,LightGBM_Accuracy_std,LightGBM_F1 Score_mean,LightGBM_F1 Score_std,LightGBM_Precision_mean,LightGBM_Precision_std,LightGBM_Recall_mean,LightGBM_Recall_std,LightGBM_ROC-AUC_mean,LightGBM_ROC-AUC_std,SVM_Inference Time_mean,SVM_Inference Time_std,SVM_Balling_mean,SVM_Balling_std,SVM_Degradation_mean,SVM_Degradation_std,SVM_LOF_mean,SVM_LOF_std,SVM_Laser-off_mean,SVM_Laser-off_std,SVM_Non-defective_mean,SVM_Non-defective_std,SVM_Accuracy_mean,SVM_Accuracy_std,SVM_F1 Score_mean,SVM_F1 Score_std,SVM_Precision_mean,SVM_Precision_std,SVM_Recall_mean,SVM_Recall_std,SVM_ROC-AUC_mean,SVM_ROC-AUC_std,HistGB_Inference Time_mean,HistGB_Inference Time_std,HistGB_Balling_mean,HistGB_Balling_std,HistGB_Degradation_mean,HistGB_Degradation_std,HistGB_LOF_mean,HistGB_LOF_std,HistGB_Laser-off_mean,HistGB_Laser-off_std,HistGB_Non-defective_mean,HistGB_Non-defective_std,HistGB_Accuracy_mean,HistGB_Accuracy_std,HistGB_F1 Score_mean,HistGB_F1 Score_std,HistGB_Precision_mean,HistGB_Precision_std,HistGB_Recall_mean,HistGB_Recall_std,HistGB_ROC-AUC_mean,HistGB_ROC-AUC_std
All Features,0.004937287300026583,0.005896211782322401,0.6052631578947368,0.0,0.918918918918919,0.0,0.36363636363636365,0.0,0.9776536312849162,0.0,0.928,0.0,0.8963808025177027,0.02164586657491899,0.8888197940107098,0.023255045162809244,0.8983361878654448,0.027185702338996757,0.8963808025177027,0.02164586657491899,0.976665472178234,0.012687963471647828,6.47028500225133e-05,1.6046279966535427e-05,0.631578947368421,0.0,0.8108108108108109,0.0,0.5,0.0,0.952513966480447,0.0,0.88,0.0,0.8738001573564123,0.029089498607509808,0.8736695861432222,0.02799738039685113,0.8794165507219726,0.029638596974256772,0.8738001573564123,0.029089498607509808,0.9320938402717589,0.023958527555040986,0.0007852368999465397,0.0003328042115033997,0.6842105263157895,0.0,0.918918918918919,0.0,0.36363636363636365,0.0,0.9832402234636871,0.0,0.928,0.0,0.9093627065302912,0.008189570262644653,0.9027410446426141,0.009486793725108794,0.9108843291041724,0.013808949387277824,0.9093627065302912,0.008189570262644653,0.9880574400875624,0.003765392292258276,0.00887003855009425,0.00028491852792451557,0.631578947368421,0.0,0.9459459459459459,0.0,0.6363636363636364,0.0,0.9189944134078212,0.0,0.904,0.0,0.8721741410962496,0.02010243991336658,0.8757498148047158,0.019543185459936347,0.8843825728598352,0.020018359074428362,0.8721741410962496,0.02010243991336658,0.9828509184230125,0.005240818269752942,0.012791115549862297,0.00033962238356420447,0.8026315789473685,0.0,0.8918918918918919,0.0,0.5,0.0,0.8770949720670391,0.0,0.672,0.0,0.8139129294518751,0.025546210307102864,0.8248170698644695,0.019689817518499284,0.8595263359372913,0.006841749511510595,0.8139129294518751,0.025546210307102864,0.9335384047571104,0.006353114640125533,0.017873665000070104,0.0005131205113005752,0.618421052631579,0.0,0.8378378378378378,0.0,0.36363636363636365,0.0,0.9553072625698324,0.0,0.872,0.0,0.8689352216102806,0.018652893828120597,0.8669930669251567,0.016972950534645388,0.8706440763787235,0.017419012251987387,0.8689352216102806,0.018652893828120597,0.9667262655421316,0.006897389593939859,0.0012937215500187448,0.00024198631640876838,0.7631578947368421,0.0,0.8918918918918919,0.0,0.5454545454545454,0.0,0.9776536312849162,0.0,0.968,0.0,0.9287306582743247,0.023876527528155715,0.9256596317272313,0.026699740692037018,0.9283014941218826,0.026944498468596347,0.9287306582743247,0.023876527528155715,0.9903062297166189,0.0035669745849825174,0.002727547399990726,0.008481085863015454,0.7631578947368421,0.0,0.9459459459459459,0.0,0.45454545454545453,0.0,0.9832402234636871,0.0,0.928,0.0,0.9239181746656175,0.008528978027737989,0.9210350851365273,0.010441269244113345,0.9234550799979833,0.014077237113345721,0.9239181746656175,0.008528978027737989,0.9896048681904832,0.003822814875151419,0.0012428162999640335,0.0022640110031554163,0.7105263157894737,0.0,0.9459459459459459,0.0,0.5,0.0,0.9860335195530726,0.0,0.928,0.0,0.920718594282717,0.005950977587627641,0.9169887433853594,0.007683683740259016,0.9188861541145531,0.009996287796707795,0.920718594282717,0.005950977587627641,0.9893837599175825,0.003593274785910219,0.0035113314500449634,0.0005315594663755251,0.75,0.0,0.918918918918919,0.0,0.4090909090909091,0.0,0.9748603351955307,0.0,0.896,0.0,0.9077235772357725,0.018397152587779728,0.9038669404177317,0.020276241043147094,0.9104950289677689,0.015316095589485509,0.9077235772357725,0.018397152587779728,0.9769942901351278,0.00672913529183727,0.004205518000071606,0.000859311424140725,0.75,0.0,0.9459459459459459,0.0,0.45454545454545453,0.0,0.9832402234636871,0.0,0.928,0.0,0.922292158405455,0.01337011310530181,0.9182325416696875,0.015239985187788825,0.923791581140765,0.012450000513211705,0.922292158405455,0.01337011310530181,0.9908761610842648,0.003710968053556127
Ablated 1,0.0022326721999888833,9.861150574848454e-05,0.6447368421052632,0.0,0.918918918918919,0.0,0.2727272727272727,0.0,0.9748603351955307,0.0,0.92,0.0,0.8947810123262523,0.017195453498891785,0.8851137384869361,0.021720398068779963,0.8911242425370556,0.025427079474722676,0.8947810123262523,0.017195453498891785,0.9754707681368385,0.014078292831973191,6.54393998956948e-05,1.805511133009805e-05,0.6052631578947368,0.0,0.7837837837837838,0.0,0.36363636363636365,0.0,0.9664804469273743,0.0,0.872,0.0,0.8705874639391556,0.01100889021991331,0.8691048736399999,0.010084202441848714,0.8734921033084537,0.010972945297986432,0.8705874639391556,0.01100889021991331,0.9367207592596367,0.01846205232523764,0.0008904260000235809,0.0002221304763017517,0.7105263157894737,0.0,0.918918918918919,0.0,0.36363636363636365,0.0,0.9860335195530726,0.0,0.928,0.0,0.9142145292420667,0.008500503660852402,0.9076575318833127,0.01052977657028542,0.9149019450599221,0.012133270066454833,0.9142145292420667,0.008500503660852402,0.9885181965440717,0.0041406073268541906,0.009331230149973635,0.00017361890087393784,0.6710526315789473,0.0,0.9459459459459459,0.0,0.6363636363636364,0.0,0.9217877094972067,0.0,0.912,0.0,0.880251770259638,0.026924307256403476,0.8829103847012725,0.02605541116872009,0.890441440989169,0.025333386590012094,0.880251770259638,0.026924307256403476,0.9828253410429648,0.004509159853879438,0.012769857150124153,0.00012746130032653547,0.7763157894736842,0.0,0.8378378378378378,0.0,0.4090909090909091,0.0,0.9022346368715084,0.0,0.728,0.0,0.8300419617099397,0.018272315835126934,0.8394801074336025,0.016312154641521914,0.8692479641436522,0.014610240000061869,0.8300419617099397,0.018272315835126934,0.9587433108871976,0.005888924860752969,0.01740794335000828,0.0004795453841786907,0.5657894736842105,0.0,0.8648648648648649,0.0,0.5454545454545454,0.0,0.9608938547486033,0.0,0.864,0.0,0.8722528193023866,0.02832356533078624,0.870116953491755,0.028179178104064166,0.87299144356015,0.027871425133271142,0.8722528193023866,0.02832356533078624,0.972174140679724,0.007573776118040758,0.0019896340500508815,0.0029725440972321895,0.75,0.0,0.9459459459459459,0.0,0.4090909090909091,0.0,0.9832402234636871,0.0,0.952,0.0,0.9254917387883556,0.021610527282615494,0.9205549732259708,0.025373343809481166,0.923136670016347,0.02710783278144879,0.9254917387883556,0.021610527282615494,0.989128610363745,0.005062766891179223,0.0056964706999679034,0.007525993633618729,0.8026315789473685,0.0,0.9459459459459459,0.0,0.5,0.0,0.9804469273743017,0.0,0.952,0.0,0.9336349331235247,0.013040212165772768,0.9315036934551971,0.013887389296563666,0.9348238583234199,0.013797015479233208,0.9336349331235247,0.013040212165772768,0.9893123080817114,0.0038297785952334075,0.0008265080999080964,6.162743791464149e-05,0.7631578947368421,0.0,0.9459459459459459,0.0,0.5454545454545454,0.0,0.9832402234636871,0.0,0.92,0.0,0.9255310778914241,0.014119176213013462,0.9227610378983719,0.015419446050191684,0.9271955653842037,0.017576050297312677,0.9255310778914241,0.014119176213013462,0.9907051738572106,0.0031957212908325034,0.0031541011500394235,0.0004236493960190549,0.6973684210526315,0.0,0.918918918918919,0.0,0.4090909090909091,0.0,0.9832402234636871,0.0,0.936,0.0,0.9141751901389983,0.022298945295980813,0.9075904629852625,0.026511700713049896,0.9143911671680043,0.02594759471894931,0.9141751901389983,0.022298945295980813,0.9774922533673266,0.0041528388892731385,0.004085957250026695,0.000137510138206777,0.7894736842105263,0.0,0.9459459459459459,0.0,0.5,0.0,0.9832402234636871,0.0,0.944,0.0,0.9320089168633622,0.013310343521515385,0.9293187919291725,0.014920578278982438,0.9331570608032109,0.017434016873553698,0.9320089168633622,0.013310343521515385,0.9916402382216567,0.0023843267607924655
Ablated 2,0.0020447555500595627,0.00014261583496294318,0.618421052631579,0.0,0.918918918918919,0.0,0.3181818181818182,0.0,0.9748603351955307,0.0,0.92,0.0,0.8931549960660897,0.022732366959273418,0.8843764260455919,0.02754103041395191,0.8919748018706214,0.02525338882902802,0.8931549960660897,0.022732366959273418,0.9727385837485911,0.012223965537178399,6.171339996399183e-05,1.8213762869006406e-05,0.7236842105263158,0.0,0.8108108108108109,0.0,0.4090909090909091,0.0,0.9608938547486033,0.0,0.856,0.0,0.8819171256228693,0.02852824933928871,0.8825503377534627,0.02862459730626451,0.8886210102890224,0.026920715726541426,0.8819171256228693,0.02852824933928871,0.9315145388892742,0.023779873994424026,0.000977525400048762,0.00022422910312148173,0.7368421052631579,0.0,0.9459459459459459,0.0,0.36363636363636365,0.0,0.9832402234636871,0.0,0.944,0.0,0.9206661421452924,0.01420808013397022,0.9145467061350102,0.01599535059076097,0.9229457644808313,0.018448378120023975,0.9206661421452924,0.01420808013397022,0.9887113534720866,0.004849537395904684,0.009547039749986653,0.00016322123486651536,0.7105263157894737,0.0,0.9459459459459459,0.0,0.6363636363636364,0.0,0.9134078212290503,0.0,0.92,0.0,0.8818646734854447,0.03148866335326618,0.8857987409951882,0.027646522158026144,0.8962082636785824,0.022604521684360904,0.8818646734854447,0.03148866335326618,0.9823614189192555,0.005868499348943962,0.012290548700002546,0.00026636223042079054,0.7236842105263158,0.0,0.8648648648648649,0.0,0.6363636363636364,0.0,0.9078212290502793,0.0,0.6,0.0,0.8107395751376869,0.01825810986489275,0.8235028024944666,0.014197724505447172,0.8611893044568172,0.00350483608503181,0.8107395751376869,0.01825810986489275,0.9412578788114727,0.005153886643462907,0.01658506690005197,0.00042979957813902854,0.5131578947368421,0.0,0.8648648648648649,0.0,0.4090909090909091,0.0,0.952513966480447,0.0,0.864,0.0,0.8560844479412537,0.027722579753924205,0.8541982589063235,0.02710775758322448,0.855868893730908,0.02712425606682879,0.8560844479412537,0.027722579753924205,0.9650897372854507,0.009468996047963195,0.001228911650059672,8.146865149359856e-05,0.7368421052631579,0.0,0.918918918918919,0.0,0.5909090909090909,0.0,0.9748603351955307,0.0,0.936,0.0,0.9206530291109363,0.019016042998488247,0.9194384738489181,0.019004720700318764,0.9231859516537497,0.01952861538454073,0.9206530291109363,0.019016042998488247,0.991735394584658,0.003979292992632483,0.007222949699962555,0.00600953089559655,0.7894736842105263,0.0,0.918918918918919,0.0,0.5,0.0,0.9860335195530726,0.0,0.936,0.0,0.930422239706268,0.003928092559764148,0.9284922261489083,0.005272540301412656,0.9295786156060876,0.007274308993385801,0.930422239706268,0.003928092559764148,0.9888798568832626,0.006091895484494062,0.0009132038998814096,5.72030561651923e-05,0.7763157894736842,0.0,0.9459459459459459,0.0,0.45454545454545453,0.0,0.9860335195530726,0.0,0.936,0.0,0.9287831104117492,0.009607872935421627,0.9253419226602144,0.01169488522223746,0.9315562909724469,0.014689011350605394,0.9287831104117492,0.009607872935421627,0.9894069791449093,0.004517859982402801,0.002537993149871909,0.0002659993961762967,0.7105263157894737,0.0,0.918918918918919,0.0,0.45454545454545453,0.0,0.9860335195530726,0.0,0.936,0.0,0.9190270128507736,0.020092403834599645,0.9146659769487181,0.02303298784456989,0.9184144578233816,0.022369402001553868,0.9190270128507736,0.020092403834599645,0.9760386372491135,0.009528199550386866,0.004056901599824414,0.00018715642067997524,0.8026315789473685,0.0,0.9459459459459459,0.0,0.4090909090909091,0.0,0.9832402234636871,0.0,0.928,0.0,0.9271702071859428,0.011538233369566516,0.9239067355186779,0.013281884427873706,0.9302745039224645,0.017550964531306404,0.9271702071859428,0.011538233369566516,0.9906594794673718,0.0033270977054271895
Ablated 3,0.0018196421000084228,0.00017838725855477423,0.7631578947368421,0.0,0.9459459459459459,0.0,0.36363636363636365,0.0,0.9832402234636871,0.0,0.912,0.0,0.9174141096249672,0.019000628411421222,0.9111401294623901,0.022184450514013857,0.9213964656261894,0.017919247316447718,0.9174141096249672,0.019000628411421222,0.9804446260515748,0.007868995602558243,5.185315003473079e-05,1.2810089645048184e-05,0.7105263157894737,0.0,0.8648648648648649,0.0,0.3181818181818182,0.0,0.946927374301676,0.0,0.888,0.0,0.8786126409651194,0.019973721244919456,0.8775314015152411,0.02184862138482926,0.8800941787411478,0.02378862461343541,0.8786126409651194,0.019973721244919456,0.9445482737710591,0.018704431313446013,0.0009153999499631027,0.00017407409986288218,0.7236842105263158,0.0,0.9459459459459459,0.0,0.4090909090909091,0.0,0.9832402234636871,0.0,0.944,0.0,0.9206661421452924,0.01420808013397022,0.9149836431549495,0.016731324005524507,0.9237185400923167,0.01945576201621389,0.9206661421452924,0.01420808013397022,0.9889191188869516,0.005695704569163011,0.008992763099877265,0.0002727665195956932,0.7236842105263158,0.0,0.9459459459459459,0.0,0.5454545454545454,0.0,0.9106145251396648,0.0,0.928,0.0,0.8802124311565697,0.03152287274203876,0.8838741967554202,0.02806696378607603,0.894191665051521,0.02342644020430251,0.8802124311565697,0.03152287274203876,0.9820869667016712,0.007538475857872807,0.011088231999974597,0.00024898604128791593,0.8947368421052632,0.0,0.8378378378378378,0.0,0.3181818181818182,0.0,0.8854748603351955,0.0,0.64,0.0,0.8139916076580122,0.023980545607846737,0.8230368553999217,0.020016329256562312,0.8705182020167502,0.02310264042723056,0.8139916076580122,0.023980545607846737,0.9454333600798599,0.009252667251265348,0.015105552050044935,0.00022025654180343184,0.618421052631579,0.0,0.8648648648648649,0.0,0.4090909090909091,0.0,0.9608938547486033,0.0,0.832,0.0,0.8673747705218988,0.019137052899036992,0.8645920714014125,0.018473556051665355,0.868815275961083,0.022399746324750548,0.8673747705218988,0.019137052899036992,0.9643015198368456,0.009760399939911481,0.001031540449730528,0.000304690547743503,0.7105263157894737,0.0,0.9459459459459459,0.0,0.45454545454545453,0.0,0.9804469273743017,0.0,0.928,0.0,0.9158143194335169,0.0124248335937451,0.9107800095520538,0.015231027603019795,0.9153576189701583,0.01716645678468005,0.9158143194335169,0.0124248335937451,0.9887772241931121,0.003137232080699369,0.005792609949912731,0.0060473223096101205,0.8026315789473685,0.0,0.9459459459459459,0.0,0.45454545454545453,0.0,0.9804469273743017,0.0,0.936,0.0,0.9287699973773933,0.014120406197113104,0.9247058431295299,0.01732969889792065,0.9306273119839945,0.019571265350975454,0.9287699973773933,0.014120406197113104,0.9885654822329956,0.008565444864339043,0.0008889504500075418,4.980779373444556e-05,0.7763157894736842,0.0,0.9459459459459459,0.0,0.45454545454545453,0.0,0.9804469273743017,0.0,0.936,0.0,0.9255573039601364,0.01401645366219056,0.922064893829744,0.01627553603004158,0.929209762345405,0.017735506398283397,0.9255573039601364,0.01401645366219056,0.9899196103272917,0.005231809938367762,0.0010451154499605763,0.00013604802713951787,0.8157894736842105,0.0,0.9459459459459459,0.0,0.45454545454545453,0.0,0.9664804469273743,0.0,0.872,0.0,0.9093364804615789,0.026894171730795877,0.9080420859068452,0.027831344349063418,0.9181804812567942,0.023482788578792813,0.9093364804615789,0.026894171730795877,0.9816541605630181,0.00937043881860956,0.00397981955038631,0.00019047458383640798,0.8157894736842105,0.0,0.9459459459459459,0.0,0.5,0.0,0.9804469273743017,0.0,0.936,0.0,0.9320089168633622,0.013310343521515385,0.9291601454671877,0.014950813598931526,0.9355084243583534,0.016268193864530923,0.9320089168633622,0.013310343521515385,0.9901734857405773,0.0037453420036968614
Ablated 4,0.0018099606500072696,0.0001319475534939265,0.7368421052631579,0.0,0.9459459459459459,0.0,0.45454545454545453,0.0,0.9860335195530726,0.0,0.936,0.0,0.9238919485969053,0.019755272604553373,0.9179475740178962,0.023909592676221506,0.9281764819054061,0.01802256194690374,0.9238919485969053,0.019755272604553373,0.9772771097507084,0.012039791995639025,5.058570013716235e-05,1.2594409995932233e-05,0.75,0.0,0.8378378378378378,0.0,0.4090909090909091,0.0,0.9497206703910615,0.0,0.816,0.0,0.8721610280618937,0.03284236354253113,0.8733626904189125,0.033226763781986086,0.8835899094770845,0.03189510138718749,0.8721610280618937,0.03284236354253113,0.9371534303611636,0.022004325627350458,0.0009576052000738855,0.00021959377903967389,0.6973684210526315,0.0,0.9459459459459459,0.0,0.45454545454545453,0.0,0.9860335195530726,0.0,0.944,0.0,0.9206792551796485,0.01098167892730493,0.9156643550828292,0.012290006624283043,0.919794551178623,0.015549798404172206,0.9206792551796485,0.01098167892730493,0.9871172197963123,0.008103257629000393,0.008965266199902544,0.00033368415337073137,0.7236842105263158,0.0,0.918918918918919,0.0,0.5454545454545454,0.0,0.9078212290502793,0.0,0.928,0.0,0.8770390768423815,0.028141946546871823,0.8812896347691211,0.024536490492922385,0.892707961929319,0.018082385353682416,0.8770390768423815,0.028141946546871823,0.982366862089554,0.006721166522613888,0.0108213340000475,0.00028283707588070095,0.7763157894736842,0.0,0.8648648648648649,0.0,0.2727272727272727,0.0,0.8798882681564246,0.0,0.784,0.0,0.8252950432730135,0.04386186700435144,0.8298756317159475,0.03786611396170028,0.8492977716844645,0.0339698298268847,0.8252950432730135,0.04386186700435144,0.9493733683546706,0.008300192934148454,0.014838571549807967,0.0003257347856982672,0.6447368421052632,0.0,0.8918918918918919,0.0,0.2727272727272727,0.0,0.9748603351955307,0.0,0.816,0.0,0.8722134801993182,0.017667009718597408,0.8656622750231537,0.01925775869907266,0.8694419539660109,0.024848123761710632,0.8722134801993182,0.017667009718597408,0.9604019223850774,0.01570555052721533,0.0009463170501476271,8.015241327860462e-05,0.6973684210526315,0.0,0.9459459459459459,0.0,0.5,0.0,0.9776536312849162,0.0,0.936,0.0,0.9158143194335168,0.016115487095952754,0.9124892369786493,0.018577567806161377,0.9133838935959415,0.02164086928713736,0.9158143194335168,0.016115487095952754,0.9901350103465907,0.0035345063146472767,0.004640312549872761,0.00822669373974838,0.8026315789473685,0.0,0.9459459459459459,0.0,0.5454545454545454,0.0,0.9832402234636871,0.0,0.928,0.0,0.931995803829006,0.01607202306968518,0.9291846335316636,0.017971368293095917,0.9327198130212799,0.02034933351870707,0.931995803829006,0.01607202306968518,0.988341795701291,0.006274612703705483,0.0009140680998825701,0.00046153471338346525,0.7368421052631579,0.0,0.9459459459459459,0.0,0.5454545454545454,0.0,0.9832402234636871,0.0,0.928,0.0,0.9239312876999739,0.012248332206353194,0.9203131570115295,0.01487110214857691,0.9252756356391394,0.01761230864287636,0.9239312876999739,0.012248332206353194,0.9886933612247131,0.0049662226530884,0.0006581938000636001,0.00010774343896022005,0.7105263157894737,0.0,0.8378378378378378,0.0,0.45454545454545453,0.0,0.9720670391061452,0.0,0.864,0.0,0.891607658012064,0.007946477181126897,0.8895212671512244,0.006740735130540559,0.8954759540902287,0.009051154773699487,0.891607658012064,0.007946477181126897,0.9652483349994391,0.011986777769703558,0.004126651450133067,0.00014891879306397785,0.7631578947368421,0.0,0.918918918918919,0.0,0.5454545454545454,0.0,0.9776536312849162,0.0,0.952,0.0,0.9271702071859428,0.009005647837565075,0.9243577851159317,0.010074377602245386,0.9276301386143103,0.012347018466679932,0.9271702071859428,0.009005647837565075,0.9892348051235432,0.004249474567218653
